ser (presente)	yo soy<br>tú eres<br>él, ella, Ud. es<br>nosotros somos<br>vosotros sois<br>ellos, ellas, Uds. son<br>vos sos	presente
ser (imperfecto)	yo era<br>tú eras<br>él, ella, Ud. era<br>nosotros éramos<br>vosotros erais<br>ellos, ellas, Uds. eran<br>vos eras	imperfecto
ser (pretérito)	yo fui<br>tú fuiste<br>él, ella, Ud. fue<br>nosotros fuimos<br>vosotros fuisteis<br>ellos, ellas, Uds. fueron<br>vos fuiste	pretérito
ser (futuro)	yo seré<br>tú serás<br>él, ella, Ud. será<br>nosotros seremos<br>vosotros seréis<br>ellos, ellas, Uds. serán<br>vos serás	futuro
ser (condicional)	yo sería<br>tú serías<br>él, ella, Ud. sería<br>nosotros seríamos<br>vosotros seríais<br>ellos, ellas, Uds. serían<br>vos serías	condicional
ser (pretérito anterior)	yo hube sido<br>tú hubiste sido<br>él, ella, Ud. hubo sido<br>nosotros hubimos sido<br>vosotros hubisteis sido<br>ellos, ellas, Uds. hubieron sido<br>vos hubiste sido	pretérito anterior
ser (pretérito perfecto)	yo he sido<br>tú has sido<br>él, ella, Ud. ha sido<br>nosotros hemos sido<br>vosotros habéis sido<br>ellos, ellas, Uds. han sido<br>vos has sido	pretérito perfecto
ser (pluscuamperfecto)	yo había sido<br>tú habías sido<br>él, ella, Ud. había sido<br>nosotros habíamos sido<br>vosotros habíais sido<br>ellos, ellas, Uds. habían sido<br>vos habías sido	pluscuamperfecto
ser (futuro perfecto)	yo habré sido<br>tú habrás sido<br>él, ella, Ud. habrá sido<br>nosotros habremos sido<br>vosotros habréis sido<br>ellos, ellas, Uds. habrán sido<br>vos habrás sido	futuro perfecto
ser (condicional perfecto)	yo habría sido<br>tú habrías sido<br>él, ella, Ud. habría sido<br>nosotros habríamos sido<br>vosotros habríais sido<br>ellos, ellas, Uds. habrían sido<br>vos habrías sido	condicional perfecto
ser (subjuntivo presente)	yo sea<br>tú seas<br>él, ella, Ud. sea<br>nosotros seamos<br>vosotros seáis<br>ellos, ellas, Uds. sean<br>vos seas, *seás	subjuntivo presente
ser (subjuntivo imperfecto)	yo fuera o fuese<br>tú fueras o fueses<br>él, ella, Ud. fuera o fuese<br>nosotros fuéramos o fuésemos<br>vosotros fuerais o fueseis<br>ellos, ellas, Uds. fueran o fuesen<br>vos fueras o fueses	subjuntivo imperfecto
ser (subjuntivo futuro)	yo fuere<br>tú fueres<br>él, ella, Ud. fuere<br>nosotros fuéremos<br>vosotros fuereis<br>ellos, ellas, Uds. fueren<br>vos fueres	subjuntivo futuro
ser (subjuntivo pretérito perfecto)	yo haya sido<br>tú hayas sido<br>él, ella, Ud. haya sido<br>nosotros hayamos sido<br>vosotros hayáis sido<br>ellos, ellas, Uds. hayan sido<br>vos hayas sido	subjuntivo pretérito perfecto
ser (subjuntivo pluscuamperfecto)	yo hubiera o hubiese sido<br>tú hubieras o hubieses sido<br>él, ella, Ud. hubiera o hubiese sido<br>nosotros hubiéramos o hubiésemos sido<br>vosotros hubierais o hubieseis sido<br>ellos, ellas, Uds. hubieran o hubiesen sido<br>vos hubieras o hubieses sido	subjuntivo pluscuamperfecto
ser (subjuntivo futuro perfecto)	yo hubiere sido<br>tú hubieres sido<br>él, ella, Ud. hubiere sido<br>nosotros hubiéremos sido<br>vosotros hubiereis sido<br>ellos, ellas, Uds. hubieren sido<br>vos hubieres sido	subjuntivo futuro perfecto
ser (imperativo afirmativo)	yo –<br>tú ¡sé!<br>él, ella, Ud. ¡sea!<br>nosotros ¡seamos!<br>vosotros ¡sed!<br>ellos, ellas, Uds. ¡sean!<br>vos ¡sé!	imperativo afirmativo
ser (imperativo negativo)	yo –<br>tú ¡no seas!<br>él, ella, Ud. ¡no sea!<br>nosotros ¡no seamos!<br>vosotros ¡no seáis!<br>ellos, ellas, Uds. ¡no sean!<br>vos ¡no seas, *seás!	imperativo negativo
haber (presente)	yo he<br>tú has<br>él, ella, Ud. ha, impersonal: hay<br>nosotros hemos<br>vosotros habéis<br>ellos, ellas, Uds. han<br>vos has	presente
haber (imperfecto)	yo había<br>tú habías<br>él, ella, Ud. había<br>nosotros habíamos<br>vosotros habíais<br>ellos, ellas, Uds. habían<br>vos habías	imperfecto
haber (pretérito)	yo hube<br>tú hubiste<br>él, ella, Ud. hubo<br>nosotros hubimos<br>vosotros hubisteis<br>ellos, ellas, Uds. hubieron<br>vos hubiste	pretérito
haber (futuro)	yo habré<br>tú habrás<br>él, ella, Ud. habrá<br>nosotros habremos<br>vosotros habréis<br>ellos, ellas, Uds. habrán<br>vos habrás	futuro
haber (condicional)	yo habría<br>tú habrías<br>él, ella, Ud. habría<br>nosotros habríamos<br>vosotros habríais<br>ellos, ellas, Uds. habrían<br>vos habrías	condicional
haber (pretérito anterior)	yo hube habido<br>tú hubiste habido<br>él, ella, Ud. hubo habido<br>nosotros hubimos habido<br>vosotros hubisteis habido<br>ellos, ellas, Uds. hubieron habido<br>vos hubiste habido	pretérito anterior
haber (pretérito perfecto)	yo he habido<br>tú has habido<br>él, ella, Ud. ha habido<br>nosotros hemos habido<br>vosotros habéis habido<br>ellos, ellas, Uds. han habido<br>vos has habido	pretérito perfecto
haber (pluscuamperfecto)	yo había habido<br>tú habías habido<br>él, ella, Ud. había habido<br>nosotros habíamos habido<br>vosotros habíais habido<br>ellos, ellas, Uds. habían habido<br>vos habías habido	pluscuamperfecto
haber (futuro perfecto)	yo habré habido<br>tú habrás habido<br>él, ella, Ud. habrá habido<br>nosotros habremos habido<br>vosotros habréis habido<br>ellos, ellas, Uds. habrán habido<br>vos habrás habido	futuro perfecto
haber (condicional perfecto)	yo habría habido<br>tú habrías habido<br>él, ella, Ud. habría habido<br>nosotros habríamos habido<br>vosotros habríais habido<br>ellos, ellas, Uds. habrían habido<br>vos habrías habido	condicional perfecto
haber (subjuntivo presente)	yo haya<br>tú hayas<br>él, ella, Ud. haya<br>nosotros hayamos<br>vosotros hayáis<br>ellos, ellas, Uds. hayan<br>vos hayas	subjuntivo presente
haber (subjuntivo imperfecto)	yo hubiera o hubiese<br>tú hubieras o hubieses<br>él, ella, Ud. hubiera o hubiese<br>nosotros hubiéramos o hubiésemos<br>vosotros hubierais o hubieseis<br>ellos, ellas, Uds. hubieran o hubiesen<br>vos hubieras o hubieses	subjuntivo imperfecto
haber (subjuntivo futuro)	yo hubiere<br>tú hubieres<br>él, ella, Ud. hubiere<br>nosotros hubiéremos<br>vosotros hubiereis<br>ellos, ellas, Uds. hubieren<br>vos hubieres	subjuntivo futuro
haber (subjuntivo pretérito perfecto)	yo haya habido<br>tú hayas habido<br>él, ella, Ud. haya habido<br>nosotros hayamos habido<br>vosotros hayáis habido<br>ellos, ellas, Uds. hayan habido<br>vos hayas habido	subjuntivo pretérito perfecto
haber (subjuntivo pluscuamperfecto)	yo hubiera o hubiese habido<br>tú hubieras o hubieses habido<br>él, ella, Ud. hubiera o hubiese habido<br>nosotros hubiéramos o hubiésemos habido<br>vosotros hubierais o hubieseis habido<br>ellos, ellas, Uds. hubieran o hubiesen habido<br>vos hubieras o hubieses habido	subjuntivo pluscuamperfecto
haber (subjuntivo futuro perfecto)	yo hubiere habido<br>tú hubieres habido<br>él, ella, Ud. hubiere habido<br>nosotros hubiéremos habido<br>vosotros hubiereis habido<br>ellos, ellas, Uds. hubieren habido<br>vos hubieres habido	subjuntivo futuro perfecto
haber (imperativo afirmativo)	yo –<br>tú ¡habe, he!<br>él, ella, Ud. ¡haya!<br>nosotros ¡hayamos!<br>vosotros ¡habed!<br>ellos, ellas, Uds. ¡hayan!<br>vos –	imperativo afirmativo
haber (imperativo negativo)	yo –<br>tú ¡no hayas!<br>él, ella, Ud. ¡no haya!<br>nosotros ¡no hayamos!<br>vosotros ¡no hayáis!<br>ellos, ellas, Uds. ¡no hayan!<br>vos –	imperativo negativo
estar (presente)	yo estoy<br>tú estás<br>él, ella, Ud. está<br>nosotros estamos<br>vosotros estáis<br>ellos, ellas, Uds. están<br>vos estás	presente
estar (imperfecto)	yo estaba<br>tú estabas<br>él, ella, Ud. estaba<br>nosotros estábamos<br>vosotros estabais<br>ellos, ellas, Uds. estaban<br>vos estabas	imperfecto
estar (pretérito)	yo estuve<br>tú estuviste<br>él, ella, Ud. estuvo<br>nosotros estuvimos<br>vosotros estuvisteis<br>ellos, ellas, Uds. estuvieron<br>vos estuviste	pretérito
estar (futuro)	yo estaré<br>tú estarás<br>él, ella, Ud. estará<br>nosotros estaremos<br>vosotros estaréis<br>ellos, ellas, Uds. estarán<br>vos estarás	futuro
estar (condicional)	yo estaría<br>tú estarías<br>él, ella, Ud. estaría<br>nosotros estaríamos<br>vosotros estaríais<br>ellos, ellas, Uds. estarían<br>vos estarías	condicional
estar (pretérito anterior)	yo hube estado<br>tú hubiste estado<br>él, ella, Ud. hubo estado<br>nosotros hubimos estado<br>vosotros hubisteis estado<br>ellos, ellas, Uds. hubieron estado<br>vos hubiste estado	pretérito anterior
estar (pretérito perfecto)	yo he estado<br>tú has estado<br>él, ella, Ud. ha estado<br>nosotros hemos estado<br>vosotros habéis estado<br>ellos, ellas, Uds. han estado<br>vos has estado	pretérito perfecto
estar (pluscuamperfecto)	yo había estado<br>tú habías estado<br>él, ella, Ud. había estado<br>nosotros habíamos estado<br>vosotros habíais estado<br>ellos, ellas, Uds. habían estado<br>vos habías estado	pluscuamperfecto
estar (futuro perfecto)	yo habré estado<br>tú habrás estado<br>él, ella, Ud. habrá estado<br>nosotros habremos estado<br>vosotros habréis estado<br>ellos, ellas, Uds. habrán estado<br>vos habrás estado	futuro perfecto
estar (condicional perfecto)	yo habría estado<br>tú habrías estado<br>él, ella, Ud. habría estado<br>nosotros habríamos estado<br>vosotros habríais estado<br>ellos, ellas, Uds. habrían estado<br>vos habrías estado	condicional perfecto
estar (subjuntivo presente)	yo esté<br>tú estés<br>él, ella, Ud. esté<br>nosotros estemos<br>vosotros estéis<br>ellos, ellas, Uds. estén<br>vos estés	subjuntivo presente
estar (subjuntivo imperfecto)	yo estuviera o estuviese<br>tú estuvieras o estuvieses<br>él, ella, Ud. estuviera o estuviese<br>nosotros estuviéramos o estuviésemos<br>vosotros estuvierais o estuvieseis<br>ellos, ellas, Uds. estuvieran o estuviesen<br>vos estuvieras o estuvieses	subjuntivo imperfecto
estar (subjuntivo futuro)	yo estuviere<br>tú estuvieres<br>él, ella, Ud. estuviere<br>nosotros estuviéremos<br>vosotros estuviereis<br>ellos, ellas, Uds. estuvieren<br>vos estuvieres	subjuntivo futuro
estar (subjuntivo pretérito perfecto)	yo haya estado<br>tú hayas estado<br>él, ella, Ud. haya estado<br>nosotros hayamos estado<br>vosotros hayáis estado<br>ellos, ellas, Uds. hayan estado<br>vos hayas estado	subjuntivo pretérito perfecto
estar (subjuntivo pluscuamperfecto)	yo hubiera o hubiese estado<br>tú hubieras o hubieses estado<br>él, ella, Ud. hubiera o hubiese estado<br>nosotros hubiéramos o hubiésemos estado<br>vosotros hubierais o hubieseis estado<br>ellos, ellas, Uds. hubieran o hubiesen estado<br>vos hubieras o hubieses estado	subjuntivo pluscuamperfecto
estar (subjuntivo futuro perfecto)	yo hubiere estado<br>tú hubieres estado<br>él, ella, Ud. hubiere estado<br>nosotros hubiéremos estado<br>vosotros hubiereis estado<br>ellos, ellas, Uds. hubieren estado<br>vos hubieres estado	subjuntivo futuro perfecto
estar (imperativo afirmativo)	yo –<br>tú ¡está!<br>él, ella, Ud. ¡esté!<br>nosotros ¡estemos!<br>vosotros ¡estad!<br>ellos, ellas, Uds. ¡estén!<br>vos ¡está!	imperativo afirmativo
estar (imperativo negativo)	yo –<br>tú ¡no estés!<br>él, ella, Ud. ¡no esté!<br>nosotros ¡no estemos!<br>vosotros ¡no estéis!<br>ellos, ellas, Uds. ¡no estén!<br>vos ¡no estés!	imperativo negativo
tener (presente)	yo tengo<br>tú tienes<br>él, ella, Ud. tiene<br>nosotros tenemos<br>vosotros tenéis<br>ellos, ellas, Uds. tienen<br>vos tenés	presente
tener (imperfecto)	yo tenía<br>tú tenías<br>él, ella, Ud. tenía<br>nosotros teníamos<br>vosotros teníais<br>ellos, ellas, Uds. tenían<br>vos tenías	imperfecto
tener (pretérito)	yo tuve<br>tú tuviste<br>él, ella, Ud. tuvo<br>nosotros tuvimos<br>vosotros tuvisteis<br>ellos, ellas, Uds. tuvieron<br>vos tuviste	pretérito
